年份,领域,新增企业数量,注销企业数量,净增长企业数量,累计存活企业数量
2000,软件开发,732,0,732,732
2000,机器人,230,1,229,229
2000,半导体,18,0,18,18
2000,物联网,3,0,3,3
2000,数据服务,1,0,1,1
2000,深度学习,0,0,0,0
2000,人工智能硬件开发,0,0,0,0
2000,自然语言处理,0,0,0,0
2000,云计算,0,0,0,0
2000,大数据分析,0,0,0,0
2000,大数据模型,0,0,0,0
2000,计算机视觉,0,0,0,0
2000,智能系统（智能+）,0,0,0,0
2001,软件开发,923,0,923,1655
2001,机器人,291,0,291,520
2001,数据服务,2,0,2,3
2001,半导体,15,0,15,33
2001,物联网,5,0,5,8
2001,大数据分析,2,0,2,2
2001,深度学习,0,0,0,0
2001,人工智能硬件开发,0,0,0,0
2001,自然语言处理,0,0,0,0
2001,云计算,0,0,0,0
2001,大数据模型,0,0,0,0
2001,计算机视觉,0,0,0,0
2001,智能系统（智能+）,0,0,0,0
2002,软件开发,1141,0,1141,2796
2002,机器人,377,1,376,896
2002,半导体,25,0,25,58
2002,物联网,8,0,8,16
2002,深度学习,0,0,0,0
2002,人工智能硬件开发,0,0,0,0
2002,自然语言处理,0,0,0,0
2002,数据服务,0,0,0,3
2002,云计算,0,0,0,0
2002,大数据分析,0,0,0,2
2002,大数据模型,0,0,0,0
2002,计算机视觉,0,0,0,0
2002,智能系统（智能+）,0,0,0,0
2003,软件开发,1530,0,1530,4326
2003,机器人,485,1,484,1380
2003,半导体,35,0,35,93
2003,物联网,11,0,11,27
2003,数据服务,1,0,1,4
2003,深度学习,0,0,0,0
2003,人工智能硬件开发,0,0,0,0
2003,自然语言处理,0,0,0,0
2003,云计算,0,0,0,0
2003,大数据分析,0,0,0,2
2003,大数据模型,0,0,0,0
2003,计算机视觉,0,0,0,0
2003,智能系统（智能+）,0,0,0,0
2004,软件开发,1673,0,1673,5999
2004,机器人,573,1,572,1952
2004,半导体,30,0,30,123
2004,物联网,7,0,7,34
2004,数据服务,4,0,4,8
2004,深度学习,0,0,0,0
2004,人工智能硬件开发,0,0,0,0
2004,自然语言处理,0,0,0,0
2004,云计算,0,0,0,0
2004,大数据分析,0,0,0,2
2004,大数据模型,0,0,0,0
2004,计算机视觉,0,0,0,0
2004,智能系统（智能+）,0,0,0,0
2005,软件开发,1871,0,1871,7870
2005,机器人,625,0,625,2577
2005,半导体,50,0,50,173
2005,物联网,16,0,16,50
2005,数据服务,2,0,2,10
2005,大数据分析,1,0,1,3
2005,深度学习,0,0,0,0
2005,人工智能硬件开发,0,0,0,0
2005,自然语言处理,0,0,0,0
2005,云计算,0,0,0,0
2005,大数据模型,0,0,0,0
2005,计算机视觉,0,0,0,0
2005,智能系统（智能+）,0,0,0,0
2006,软件开发,2156,0,2156,10026
2006,机器人,712,1,711,3288
2006,半导体,57,0,57,230
2006,物联网,14,0,14,64
2006,深度学习,1,0,1,1
2006,数据服务,1,0,1,11
2006,人工智能硬件开发,0,0,0,0
2006,自然语言处理,0,0,0,0
2006,云计算,0,0,0,0
2006,大数据分析,0,0,0,3
2006,大数据模型,0,0,0,0
2006,计算机视觉,0,0,0,0
2006,智能系统（智能+）,0,0,0,0
2007,软件开发,2426,0,2426,12452
2007,机器人,836,0,836,4124
2007,半导体,55,0,55,285
2007,物联网,14,0,14,78
2007,数据服务,1,0,1,12
2007,深度学习,0,0,0,1
2007,人工智能硬件开发,0,0,0,0
2007,自然语言处理,0,0,0,0
2007,云计算,0,0,0,0
2007,大数据分析,0,0,0,3
2007,大数据模型,0,0,0,0
2007,计算机视觉,0,0,0,0
2007,智能系统（智能+）,0,0,0,0
2008,软件开发,2651,0,2651,15103
2008,机器人,945,1,944,5068
2008,半导体,68,0,68,353
2008,物联网,15,0,15,93
