生存周期区间,已死亡企业数量,存活企业数量
0.0-5.0月,95275,214994
6.0-11.0月,53711,182213
12.0-17.0月,53219,190290
18.0-23.0月,33674,179137
24.0-29.0月,27499,150083
30.0-35.0月,19561,137684
36.0-41.0月,14072,124926
42.0-47.0月,8299,107482
48.0-53.0月,5491,81711
54.0-59.0月,3061,51566
60.0-65.0月,2340,35952
66.0-71.0月,1711,29045
72.0-77.0月,1452,24996
78.0-83.0月,1035,23538
84.0-89.0月,885,19979
90.0-95.0月,723,18254
96.0-101.0月,595,16159
102.0-107.0月,468,15137
108.0-113.0月,435,13005
114.0-119.0月,361,12029
120.0-125.0月,305,10582
126.0-131.0月,194,9946
132.0-137.0月,174,5982
138.0-143.0月,115,5362
144.0-149.0月,118,3998
150.0-155.0月,96,4388
156.0-161.0月,90,3821
162.0-167.0月,80,3898
168.0-173.0月,62,3236
174.0-179.0月,57,3193
180.0-185.0月,38,2570
186.0-191.0月,40,2610
192.0-197.0月,36,1893
198.0-203.0月,24,1939
204.0-209.0月,30,1779
210.0-215.0月,27,1671
216.0-221.0月,32,1524
222.0-227.0月,24,1612
228.0-233.0月,16,1297
234.0-239.0月,23,1360
240.0-245.0月,20,1145
246.0-251.0月,20,1301
252.0-257.0月,14,1052
258.0-263.0月,14,1112
264.0-269.0月,16,859
270.0-275.0月,10,764
276.0-281.0月,11,686
282.0-287.0月,6,647
288.0-293.0月,5,499
294.0-299.0月,3,508
300.0-305.0月,1,329
306.0-311.0月,3,360
312.0-317.0月,0,293
318.0-323.0月,3,335
324.0-329.0月,3,227
330.0-335.0月,2,192
336.0-341.0月,2,178
342.0-347.0月,0,169
348.0-353.0月,0,122
354.0-359.0月,2,127
360.0-365.0月,0,72
366.0-371.0月,1,124
372.0-377.0月,0,111
378.0-383.0月,0,151
384.0-389.0月,0,111
390.0-395.0月,0,47
396.0-401.0月,0,32
402.0-407.0月,0,31
408.0-413.0月,1,38
414.0-419.0月,0,29
420.0-425.0月,0,34
426.0-431.0月,1,34
432.0-437.0月,0,23
438.0-443.0月,0,25
444.0-449.0月,0,23
450.0-455.0月,0,20
456.0-461.0月,0,10
462.0-467.0月,0,18
468.0-473.0月,0,15
474.0-479.0月,0,13
480.0-485.0月,0,17
486.0-491.0月,0,14
492.0-497.0月,0,2
498.0-503.0月,0,3
504.0-509.0月,0,8
510.0-515.0月,0,11
516.0-521.0月,0,13
522.0-527.0月,0,5
528.0-533.0月,0,13
534.0-539.0月,0,5
540.0-545.0月,0,4
546.0-551.0月,0,3
552.0-557.0月,0,0
558.0-563.0月,0,1
564.0-569.0月,0,0
570.0-575.0月,0,1
576.0-581.0月,0,0
582.0-587.0月,0,0
588.0-593.0月,0,0
594.0-599.0月,0,0
600.0-605.0月,0,0
606.0-611.0月,0,0
612.0-617.0月,0,0
618.0-623.0月,0,0
624.0-629.0月,0,0
630.0-635.0月,0,0
636.0-641.0月,0,0
642.0-647.0月,0,0
648.0-653.0月,0,0
654.0-659.0月,0,0
660.0-665.0月,0,0
666.0-671.0月,0,0
672.0-677.0月,0,0
678.0-683.0月,0,1
684.0-689.0月,0,0
690.0-695.0月,0,0
696.0-701.0月,0,0
702.0-707.0月,0,0
708.0-713.0月,0,1
714.0-719.0月,0,0
720.0-725.0月,0,0
726.0-731.0月,0,0
732.0-737.0月,0,0
738.0-743.0月,0,0
744.0-749.0月,0,0
750.0-755.0月,0,0
756.0-761.0月,0,0
762.0-767.0月,0,0
768.0-773.0月,0,0
774.0-779.0月,0,0
780.0-785.0月,0,1
786.0-791.0月,0,1
792.0-797.0月,0,2
798.0-803.0月,0,0
804.0-809.0月,0,0
810.0-815.0月,0,0
816.0-821.0月,0,0
822.0-827.0月,0,1
828.0-833.0月,0,0
834.0-839.0月,0,0
840.0-845.0月,0,0
846.0-851.0月,0,0
852.0-857.0月,0,0
858.0-863.0月,0,0
864.0-869.0月,0,1
870.0-875.0月,0,0
876.0-881.0月,0,0
882.0-887.0月,0,1
