城市,全部企业,注销,年份
七台河市,26,0.0,2020
万宁市,59,8.0,2020
三亚市,1941,34.0,2020
三明市,594,101.0,2020
三沙市,12,0.0,2020
三门峡市,141,1.0,2020
上海市,22351,167.0,2020
上饶市,833,8.0,2020
东方市,83,7.0,2020
东莞市,3672,60.0,2020
东营市,953,4.0,2020
中卫市,74,0.0,2020
中山市,1546,22.0,2020
临夏回族自治州,58,0.0,2020
临汾市,279,2.0,2020
临沂市,2565,21.0,2020
临沧市,79,1.0,2020
临高县,20,2.0,2020
丹东市,216,2.0,2020
丽水市,597,20.0,2020
丽江市,85,0.0,2020
乌兰察布市,125,5.0,2020
乌海市,62,1.0,2020
乌鲁木齐市,2541,6.0,2020
乐东黎族自治县,39,0.0,2020
乐山市,142,9.0,2020
九江市,803,21.0,2020
云浮市,84,0.0,2020
五家渠市,33,1.0,2020
五指山市,17,1.0,2020
亳州市,170,1.0,2020
仙桃市,78,2.0,2020
伊春市,19,0.0,2020
伊犁哈萨克自治州,327,8.0,2020
佛山市,3796,22.0,2020
佳木斯市,71,0.0,2020
保亭黎族苗族自治县,30,0.0,2020
保定市,948,40.0,2020
保山市,75,0.0,2020
信阳市,408,2.0,2020
儋州市,393,20.0,2020
克孜勒苏柯尔克孜自治州,33,0.0,2020
克拉玛依市,115,0.0,2020
六安市,336,6.0,2020
六盘水市,152,2.0,2020
兰州市,2267,12.0,2020
兴安盟,73,0.0,2020
内江市,161,16.0,2020
凉山彝族自治州,238,19.0,2020
包头市,527,6.0,2020
北京市,32541,21.0,2020
北屯市,11,0.0,2020
北海市,352,3.0,2020
十堰市,467,4.0,2020
南京市,13865,97.0,2020
南充市,495,50.0,2020
南宁市,5324,30.0,2020
南平市,330,43.0,2020
南昌市,3145,34.0,2020
南通市,1926,12.0,2020
南阳市,710,3.0,2020
博尔塔拉蒙古自治州,34,1.0,2020
厦门市,10951,86.0,2020
双河市,6,0.0,2020
双鸭山市,19,0.0,2020
可克达拉市,7,0.0,2020
台州市,1283,54.0,2020
合肥市,8461,171.0,2020
吉安市,605,9.0,2020
吉林市,397,7.0,2020
吐鲁番市,30,0.0,2020
吕梁市,166,0.0,2020
吴忠市,107,2.0,2020
周口市,370,3.0,2020
呼伦贝尔市,128,0.0,2020
呼和浩特市,1251,5.0,2020
和田地区,116,0.0,2020
咸宁市,247,2.0,2020
咸阳市,664,106.0,2020
哈密市,125,1.0,2020
哈尔滨市,2336,22.0,2020
唐山市,701,15.0,2020
商丘市,247,0.0,2020
商洛市,91,12.0,2020
喀什地区,291,1.0,2020
嘉兴市,2341,59.0,2020
嘉峪关市,88,0.0,2020
四平市,88,2.0,2020
固原市,113,1.0,2020
图木舒克市,9,0.0,2020
塔城地区,53,0.0,2020
大兴安岭地区,11,1.0,2020
大同市,208,0.0,2020
大庆市,324,3.0,2020
大理白族自治州,127,2.0,2020
大连市,3012,38.0,2020
天水市,176,2.0,2020
天津市,12162,142.0,2020
天门市,47,0.0,2020
太原市,2999,18.0,2020
威海市,917,8.0,2020
娄底市,212,7.0,2020
孝感市,250,2.0,2020
宁德市,1041,189.0,2020
宁波市,6036,159.0,2020
安庆市,431,6.0,2020
安康市,256,15.0,2020
安阳市,341,2.0,2020
安顺市,107,3.0,2020
定安县,18,1.0,2020
定西市,118,0.0,2020
宜宾市,468,58.0,2020
宜昌市,753,8.0,2020
宜春市,746,13.0,2020
宝鸡市,762,44.0,2020
宣城市,174,1.0,2020
宿州市,301,8.0,2020
宿迁市,1044,15.0,2020
屯昌县,17,2.0,2020
山南市,30,0.0,2020
山西转型综合改革示范区,25,0.0,2020
岳阳市,284,14.0,2020
崇左市,113,1.0,2020
巴中市,131,16.0,2020
巴彦淖尔市,97,2.0,2020
巴音郭楞蒙古自治州,291,2.0,2020
常州市,2298,12.0,2020
常德市,183,6.0,2020
平凉市,174,3.0,2020
平顶山市,290,0.0,2020
广元市,197,21.0,2020
广安市,189,19.0,2020
广州市,32338,438.0,2020
庆阳市,253,0.0,2020
廊坊市,492,63.0,2020
延安市,318,31.0,2020
延边朝鲜族自治州,155,3.0,2020
开封市,373,1.0,2020
张家口市,285,5.0,2020
张家界市,92,3.0,2020
张掖市,192,0.0,2020
徐州市,2964,30.0,2020
德宏傣族景颇族自治州,50,13.0,2020
德州市,916,18.0,2020
德阳市,361,32.0,2020
忻州市,129,0.0,2020
怀化市,178,11.0,2020
怒江傈僳族自治州,16,0.0,2020
恩施土家族苗族自治州,346,3.0,2020
惠州市,1815,41.0,2020
成都市,13190,890.0,2020
扬州市,1601,21.0,2020
承德市,158,2.0,2020
抚州市,448,5.0,2020
抚顺市,261,8.0,2020
拉萨市,479,3.0,2020
揭阳市,156,1.0,2020
攀枝花市,145,5.0,2020
文山壮族苗族自治州,92,4.0,2020
文昌市,143,3.0,2020
新乡市,492,4.0,2020
新余市,250,7.0,2020
新星市,7,0.0,2020
无锡市,3744,26.0,2020
日喀则市,22,0.0,2020
日照市,884,17.0,2020
昆明市,3235,98.0,2020
昆玉市,2,0.0,2020
昌吉回族自治州,192,0.0,2020
昌江黎族自治县,19,1.0,2020
昌都市,25,0.0,2020
