城市,年份,注销数量,最新注销率,风险评分,风险等级,动态预警,注销率得分,趋势得分,波动性得分,趋势斜率,历史波动性,最近3年年份,最近3年注销率,预警详情,预警原因
钦州市,2024,1359.0,1.46,100.0,高风险,橙色预警,60.0,30.0,10.0,0.71,0.64,"2022,2023,2024","0.03,0.04,1.46","注销率异常增长: 去年→今年: 3550.00%, 前年→去年: 33.00%",注销率异常增长
昆玉市,2024,6.0,0.24,100.0,高风险,橙色预警,60.0,30.0,10.0,0.12,0.11,"2022,2023,2024","0.0,0.0,0.24",当前风险评分:100.0 (超过70分阈值),风险评分超阈值
齐齐哈尔市,2024,124.0,0.25,100.0,高风险,红色预警,60.0,30.0,10.0,0.1,0.11,"2022,2023,2024","0.05,0.22,0.25","风险评分连续增长: 去年→今年: 1.00%, 前年→去年: 370.00%; 当前评分:100.0",高风险且趋势恶化
贵州省贵安新区,2024,3.0,1.5,100.0,高风险,无预警,60.0,30.0,10.0,0.63,0.64,"2022,2023,2024","0.25,0.67,1.5",,
雄安新区,2024,1.0,0.33,100.0,高风险,无预警,60.0,30.0,10.0,0.17,0.17,"2022,2023,2024","0.0,0.0,0.33",,
果洛藏族自治州,2024,4.0,0.4,100.0,高风险,橙色预警,60.0,30.0,10.0,0.16,0.17,"2022,2023,2024","0.08,0.0,0.4",当前风险评分:100.0 (超过70分阈值),风险评分超阈值
文昌市,2024,420.0,0.24,99.09,高风险,橙色预警,60.0,30.0,9.09,0.1,0.09,"2022,2023,2024","0.05,0.03,0.24","注销率异常增长: 去年→今年: 700.00%, 前年→去年: -40.00%",注销率异常增长
三沙市,2024,2.0,0.18,93.19,高风险,无预警,54.55,30.0,8.65,0.09,0.09,"2022,2023,2024","0.0,0.08,0.18",,
七台河市,2024,20.0,0.18,90.07,高风险,橙色预警,53.57,30.0,6.5,0.06,0.06,"2022,2023,2024","0.06,0.07,0.18","注销率异常增长: 去年→今年: 157.00%, 前年→去年: 17.00%",注销率异常增长
通化市,2024,47.0,0.17,86.89,高风险,红色预警,51.09,30.0,5.8,0.06,0.06,"2022,2023,2024","0.05,0.13,0.17","风险评分连续增长: 去年→今年: 18.00%, 前年→去年: 355.00%; 当前评分:86.89",高风险且趋势恶化
菏泽市,2024,713.0,0.18,84.74,高风险,红色预警,53.32,25.6,5.83,0.04,0.06,"2022,2023,2024","0.09,0.12,0.18","风险评分连续增长: 去年→今年: 50.00%, 前年→去年: 6.00%; 当前评分:84.74",高风险且趋势恶化
安庆市,2024,322.0,0.16,83.8,高风险,红色预警,47.92,30.0,5.88,0.06,0.06,"2022,2023,2024","0.04,0.08,0.16","风险评分连续增长: 去年→今年: 92.00%, 前年→去年: 80.00%; 当前评分:83.8",高风险且趋势恶化
济源市,2024,48.0,0.15,82.46,高风险,红色预警,45.86,30.0,6.6,0.05,0.07,"2022,2023,2024","0.04,0.13,0.15","风险评分连续增长: 去年→今年: 11.00%, 前年→去年: 162.00%; 当前评分:82.46",高风险且趋势恶化
铁门关市,2024,8.0,0.15,81.97,高风险,红色预警,44.44,30.0,7.53,0.07,0.08,"2022,2023,2024","0.0,0.15,0.15","风险评分连续增长: 去年→今年: 2.00%, 前年→去年: 3669.00%; 当前评分:81.97",高风险且趋势恶化
鹤岗市,2024,22.0,0.15,81.44,高风险,红色预警,44.9,30.0,6.55,0.06,0.07,"2022,2023,2024","0.02,0.12,0.15","风险评分连续增长: 去年→今年: 15.00%, 前年→去年: 738.00%; 当前评分:81.44",高风险且趋势恶化
双鸭山市,2024,18.0,0.15,81.28,高风险,红色预警,45.0,30.0,6.28,0.07,0.06,"2022,2023,2024","0.02,0.05,0.15","风险评分连续增长: 去年→今年: 139.00%, 前年→去年: 169.00%; 当前评分:81.28",高风险且趋势恶化
太原市,2024,1730.0,0.14,77.34,高风险,红色预警,42.1,30.0,5.24,0.06,0.05,"2022,2023,2024","0.02,0.06,0.14","风险评分连续增长: 去年→今年: 170.00%, 前年→去年: 105.00%; 当前评分:77.34",高风险且趋势恶化
绥化市,2024,61.0,0.14,76.86,高风险,红色预警,42.07,29.74,5.05,0.05,0.05,"2022,2023,2024","0.04,0.07,0.14","风险评分连续增长: 去年→今年: 126.00%, 前年→去年: 50.00%; 当前评分:76.86",高风险且趋势恶化
新余市,2024,114.0,0.15,76.37,高风险,橙色预警,43.96,27.88,4.54,0.05,0.05,"2022,2023,2024","0.05,0.06,0.15","注销率异常增长: 去年→今年: 150.00%, 前年→去年: 20.00%",注销率异常增长
牡丹江市,2024,82.0,0.15,75.39,高风险,橙色预警,46.24,23.46,5.7,0.04,0.06,"2022,2023,2024","0.08,0.09,0.15",当前风险评分:75.39 (超过70分阈值),风险评分超阈值
神农架林区,2024,4.0,0.14,75.3,高风险,橙色预警,42.86,26.19,6.25,0.04,0.06,"2022,2023,2024","0.06,0.0,0.14",当前风险评分:75.3 (超过70分阈值),风险评分超阈值
萍乡市,2024,187.0,0.13,75.21,高风险,橙色预警,38.06,27.15,10.0,0.05,0.11,"2022,2023,2024","0.04,0.3,0.13","注销率异常增长: 去年→今年: -57.00%, 前年→去年: 650.00%",注销率异常增长
滨州市,2024,477.0,0.14,74.52,高风险,红色预警,42.67,26.86,5.0,0.04,0.05,"2022,2023,2024","0.05,0.09,0.14","风险评分连续增长: 去年→今年: 80.00%, 前年→去年: 34.00%; 当前评分:74.52",高风险且趋势恶化
商丘市,2024,234.0,0.14,73.41,高风险,红色预警,43.39,24.55,5.48,0.04,0.05,"2022,2023,2024","0.06,0.09,0.14","风险评分连续增长: 去年→今年: 51.00%, 前年→去年: 19.00%; 当前评分:73.41",高风险且趋势恶化
淮北市,2024,120.0,0.13,72.3,高风险,红色预警,40.45,26.56,5.29,0.04,0.05,"2022,2023,2024","0.05,0.08,0.13","风险评分连续增长: 去年→今年: 47.00%, 前年→去年: 74.00%; 当前评分:72.3",高风险且趋势恶化
济宁市,2024,828.0,0.14,72.0,高风险,红色预警,42.14,24.51,5.34,0.04,0.05,"2022,2023,2024","0.06,0.1,0.14","风险评分连续增长: 去年→今年: 38.00%, 前年→去年: 41.00%; 当前评分:72.0",高风险且趋势恶化
佳木斯市,2024,60.0,0.13,71.99,高风险,红色预警,38.22,28.49,5.28,0.05,0.05,"2022,2023,2024","0.03,0.07,0.13","风险评分连续增长: 去年→今年: 58.00%, 前年→去年: 116.00%; 当前评分:71.99",高风险且趋势恶化
南阳市,2024,449.0,0.13,71.62,高风险,红色预警,40.16,26.35,5.1,0.04,0.05,"2022,2023,2024","0.05,0.07,0.13","风险评分连续增长: 去年→今年: 91.00%, 前年→去年: 31.00%; 当前评分:71.62",高风险且趋势恶化
周口市,2024,310.0,0.15,70.3,高风险,橙色预警,43.83,21.1,5.38,0.04,0.05,"2022,2023,2024","0.08,0.08,0.15",当前风险评分:70.3 (超过70分阈值),风险评分超阈值
平顶山市,2024,173.0,0.13,69.51,中风险,黄色预警,38.42,26.11,4.98,0.04,0.05,"2022,2023,2024","0.04,0.08,0.13","风险评分连续增长: 去年→今年: 64.00%, 前年→去年: 59.00%",风险趋势恶化
阳江市,2024,79.0,0.13,68.44,中风险,橙色预警,37.86,26.06,4.52,0.04,0.05,"2022,2023,2024","0.04,0.06,0.13","注销率异常增长: 去年→今年: 117.00%, 前年→去年: 50.00%",注销率异常增长
保亭黎族苗族自治县,2024,12.0,0.12,67.85,中风险,橙色预警,36.0,26.77,5.08,0.04,0.05,"2022,2023,2024","0.03,0.11,0.12","注销率异常增长: 去年→今年: 9.00%, 前年→去年: 267.00%",注销率异常增长
襄阳市,2024,438.0,0.13,67.55,中风险,无预警,40.1,22.85,4.6,0.04,0.05,"2022,2023,2024","0.06,0.07,0.13",,
河源市,2024,138.0,0.13,66.66,中风险,黄色预警,38.76,23.11,4.79,0.04,0.05,"2022,2023,2024","0.05,0.1,0.13","风险评分连续增长: 去年→今年: 28.00%, 前年→去年: 73.00%",风险趋势恶化
濮阳市,2024,170.0,0.14,66.32,中风险,无预警,41.2,20.46,4.67,0.03,0.05,"2022,2023,2024","0.07,0.08,0.14",,
宿州市,2024,233.0,0.13,65.43,中风险,橙色预警,37.62,23.58,4.23,0.04,0.04,"2022,2023,2024","0.05,0.06,0.13","注销率异常增长: 去年→今年: 117.00%, 前年→去年: 20.00%",注销率异常增长
琼海市,2024,112.0,0.12,65.39,中风险,橙色预警,36.44,24.37,4.58,0.04,0.05,"2022,2023,2024","0.04,0.03,0.12","注销率异常增长: 去年→今年: 300.00%, 前年→去年: -25.00%",注销率异常增长
泰安市,2024,564.0,0.13,65.37,中风险,黄色预警,40.05,20.88,4.45,0.03,0.04,"2022,2023,2024","0.06,0.09,0.13","风险评分连续增长: 去年→今年: 71.00%, 前年→去年: 1.00%",风险趋势恶化
通辽市,2024,80.0,0.12,65.24,中风险,黄色预警,36.75,24.01,4.47,0.04,0.04,"2022,2023,2024","0.04,0.08,0.12","风险评分连续增长: 去年→今年: 56.00%, 前年→去年: 75.00%",风险趋势恶化
鸡西市,2024,30.0,0.14,65.18,中风险,橙色预警,41.86,17.86,5.46,0.03,0.05,"2022,2023,2024","0.08,0.05,0.14","注销率异常增长: 去年→今年: 180.00%, 前年→去年: -38.00%",注销率异常增长
锡林郭勒盟,2024,40.0,0.11,64.36,中风险,橙色预警,32.52,27.37,4.47,0.05,0.04,"2022,2023,2024","0.02,0.06,0.11","注销率异常增长: 去年→今年: 83.00%, 前年→去年: 200.00%",注销率异常增长
临汾市,2024,155.0,0.12,64.36,中风险,橙色预警,35.99,23.4,4.97,0.04,0.05,"2022,2023,2024","0.04,0.1,0.12","注销率异常增长: 去年→今年: 20.00%, 前年→去年: 150.00%",注销率异常增长
