城市,全部企业,企业密度
北京市,6552,3992.5560036415613
石家庄市,221,157.18349928876242
天津市,1095,915.0927628280126
长治市,40,28.663561447509853
唐山市,108,80.16627078384798
巴彦淖尔市,9,1.3816395455941048
锡林郭勒盟,8,0.40023213463809004
赤峰市,26,2.8882149720620744
邢台市,11,8.847422182900345
太原市,392,560.9616485403549
衡水市,17,19.237297725472445
临汾市,24,11.821495419170525
运城市,31,21.85715292956356
阿拉善盟,3,0.12092873266688166
晋中市,35,21.351878965348952
吕梁市,16,7.568590350047303
包头市,75,27.009507346586
保定市,70,31.552851025467657
承德市,16,4.051658647758926
呼伦贝尔市,15,0.5928853754940712
廊坊市,59,91.91462844679856
乌兰察布市,7,1.2854414573233435
鄂尔多斯市,68,7.826707488317488
秦皇岛市,40,51.26233499935922
沧州市,33,23.070469798657715
朔州市,15,14.117647058823529
阳泉市,27,59.223513928493084
乌海市,14,83.88256440982623
邯郸市,27,22.37878159966846
忻州市,5,1.9879134860050889
兴安盟,5,0.906930764905407
呼和浩特市,147,85.53473757709763
大同市,21,14.940239043824702
通辽市,17,2.888160241925893
张家口市,20,5.435225697747099
晋城市,39,41.37931034482759
山西转型综合改革示范区,1,16.961514323998845
沈阳市,538,414.48382126348224
长春市,405,163.6760426770126
大连市,414,312.7596887512276
伊春市,1,0.3048780487804878
朝阳市,16,8.122652045892984
铁岭市,12,9.241432422025413
吉林市,69,24.899859261665043
葫芦岛市,17,16.3320203669901
四平市,7,6.83460261667643
阜新市,11,10.651689745327783
佳木斯市,12,3.695719125346473
牡丹江市,22,5.666160146289952
齐齐哈尔市,15,3.5498757543485975
大庆市,54,25.4656920537609
抚顺市,10,8.872327211427557
锦州市,22,21.91235059760956
双鸭山市,2,0.906988345199764
鞍山市,59,63.7493246893571
白山市,9,5.141388174807197
本溪市,13,15.450439743285001
松原市,14,6.363636363636363
辽阳市,19,40.059034366434744
鸡西市,8,3.5565039566106518
丹东市,40,26.160889470241987
哈尔滨市,276,52.008743498907066
辽源市,5,9.727626459143968
绥化市,4,1.1470191838958506
延边朝鲜族自治州,21,4.846638510004846
白城市,5,1.941069140882798
鹤岗市,4,2.7275826798499825
上海市,3420,5393.896380411639
黑河市,6,0.8973707038377553
营口市,28,51.85377236193933
盘锦市,27,66.42066420664206
通化市,7,4.483730463745836
南京市,1349,2047.8769027114251
苏州市,1185,1368.7838730692638
徐州市,204,173.39566510837227
无锡市,506,1093.4724449265902
南通市,193,182.95573040098589
连云港市,74,97.17662508207485
常州市,232,530.6495882891124
湖州市,98,168.38487972508588
宿迁市,60,70.3894885030502
杭州市,1959,1162.3650063458365
扬州市,170,257.919259134514
镇江市,107,278.6458333333333
泰州市,94,162.43303957145326
温州市,385,319.10484873601325
嘉兴市,205,485.43689320388347
盐城市,124,73.06151308036766
金华市,179,163.58983732407236
淮安市,52,51.8444666001994
绍兴市,124,149.77654306075613
舟山市,24,164.9484536082474
宁波市,556,593.6631794293572
衢州市,39,44.09270774448841
丽水市,53,30.680173661360346
马鞍山市,48,118.54778957767348
安庆市,42,31.023784901758013
滁州市,27,19.976324356318436
台州市,98,97.62900976290098
亳州市,10,11.735711770918906
淮北市,19,69.31776723823423
合肥市,727,635.2118829183049
淮南市,27,48.804294777940456
铜陵市,17,56.51595744680851
芜湖市,61,101.22801194822436
蚌埠市,25,42.00974626113258
黄山市,9,9.177118384827164
阜阳市,31,30.638466100019766
南平市,34,12.93759512937595
宿州市,25,25.15343595935205
池州市,15,17.859268960590544
龙岩市,69,36.26235022072735
莆田市,53,128.29823287339627
厦门市,1323,6919.456066945606
三明市,45,19.595035924232526
六安市,26,16.82738981295709
宁德市,86,64.02620607504466
福州市,1111,906.864745735042
宣城市,15,12.18224640623731
宜春市,43,23.03283518131662
九江市,49,25.684033965824508
赣州市,62,15.750831999593526
枣庄市,51,111.74408413672217
抚州市,24,12.767315671879986
萍乡市,18,46.985121378230225
南昌市,315,437.80403057678944
景德镇市,8,15.203344735841885
漳州市,128,99.36137031749838
吉安市,31,12.267025444185034
上饶市,44,19.35171746492501
青岛市,917,812.0074382360755
泉州市,277,245.41507929476387
新余市,19,60.12658227848101
鹰潭市,10,28.089887640449437
潍坊市,150,92.9195316855603
日照市,77,143.68352304534426
济宁市,137,122.46357379100742
威海市,84,144.9025357943764
东营市,107,129.80710906223462
济南市,1045,1020.1093322920734
泰安市,101,130.13786883133616
烟台市,248,68.22183098591549
淄博市,146,244.76110645431683
鹤壁市,10,46.72897196261682
聊城市,55,63.74594343996291
平顶山市,31,39.19089759797724
新乡市,58,69.95537329634543
临沂市,142,82.60136117736025
南阳市,55,20.746105390215384
漯河市,11,42.032862055789074
洛阳市,87,57.10160147020215
濮阳市,19,44.48606883633809
许昌市,24,48.20245029122314
三门峡市,13,13.083735909822867
德州市,59,56.96080324386947
郑州市,836,1104.7708657650537
开封市,16,25.641025641025642
焦作市,22,55.3877139979859
菏泽市,39,32.0855614973262
滨州市,71,77.40950719581335
安阳市,32,43.52557127312296
荆门市,20,16.208768943998702
黄冈市,29,16.612247236065762
荆州市,39,27.661536279168732
湘潭市,31,61.925689172992406
襄阳市,75,38.017031630170315
潜江市,4,19.96007984031936
商丘市,18,16.816143497757846
仙桃市,7,27.580772261623324
株洲市,61,49.747186429619966
神农架林区,4,12.373289779353309
黄石市,32,70.09857612267251
孝感市,34,38.18508535489667
天门市,3,11.441647597254006
鄂州市,17,106.51629072681703
衡阳市,32,20.916399764690503
周口市,12,10.032605969400551
邵阳市,11,5.282366500192086
十堰市,68,28.733203752218373
宜昌市,119,56.44090305444887
咸宁市,28,28.713442916137257
济源市,9,46.60797514241325
驻马店市,9,5.966982695750183
恩施土家族苗族自治州,48,20.0
随州市,12,12.48179737882255
武汉市,1331,1553.2462379582573
信阳市,27,14.273630788750262
揭阳市,25,47.483380816714146
阳江市,8,10.05656819610308
云浮市,9,11.560693641618496
韶关市,37,20.094498452180524
怀化市,18,6.528125340006527
河源市,23,14.692730292576975
益阳市,19,15.422077922077923
肇庆市,41,27.533409441944798
郴州市,20,10.340192327577292
清远市,24,12.607690691321706
常德市,23,12.653353138581723
珠海市,518,2983.0805201386725
岳阳市,34,22.88329519450801
张家界市,14,14.684287812041116
汕头市,93,422.91181606519206
湛江市,82,61.82613285078791
娄底市,31,38.22441430332922
潮州市,18,57.21551176096631
江门市,75,78.91414141414141
北海市,32,80.22060666833792
茂名市,27,23.62824888422158
长沙市,785,664.1285956006767
梅州市,36,22.692160047804816
永州市,13,5.84033424682151
湘西土家族苗族自治州,3,1.9392372333548802
汕尾市,7,14.397367338543809
梧州市,11,8.749602290804964
佛山市,433,1140.157778877853
惠州市,163,143.66296492155826
东莞市,473,1922.701700757699
深圳市,2699,13165.853658536584
中山市,157,880.2076617311496
广州市,3698,4974.174109544819
南宁市,588,266.0753880266075
柳州市,85,45.706296714523845
桂林市,82,29.638197130155056
贵港市,19,17.921146953405017
定安县,1,8.357989402069437
百色市,22,6.077012319761339
防城港市,8,12.836970474967908
澄迈县,13,62.6119791164968
玉林市,29,22.61384903306301
河池市,7,2.0910503046959015
崇左市,6,3.461804754211862
重庆市,1288,156.50060753341432
万宁市,1,5.263545734948892
东方市,1,4.400207689802959
文昌市,1,4.0663961157784305
来宾市,8,5.978179644298311
钦州市,12,11.030425590587368
海口市,393,1705.1075128859268
三亚市,54,281.3115368986966
儋州市,7,20.624631703005303
贺州市,3,2.552539777078193
西藏自治区,1,0.008316914358237778
海西蒙古族藏族自治州,9,0.299148424152579
拉萨市,40,13.498004488761392
酒泉市,21,1.09375
临高县,1,7.444187206419866
琼海市,2,11.694948951547824
遵义市,29,9.425683362043747
定西市,9,4.589729205976847
五指山市,1,8.843218577833587
黔西南布依族苗族自治州,10,5.950255861002023
嘉峪关市,8,65.359477124183
和田地区,8,0.3213548319715922
平凉市,13,11.637275087279564
天水市,30,21.01281781886951
陵水黎族自治县,1,9.026248330144059
阿勒泰地区,5,0.423728813559322
金昌市,15,19.87018148099086
武威市,15,4.636542944124403
张掖市,16,4.377325454147516
六盘水市,8,8.06939681258826
白银市,6,2.985223145430121
山南市,3,0.3785297902944961
黔东南苗族侗族自治州,7,2.311604253351826
黔南布依族苗族自治州,5,1.9087612139721322
西宁市,125,164.3223346917313
庆阳市,18,6.637902422834384
陇南市,11,3.951291353856101
昌都市,2,0.18212116521121502
铜仁市,8,4.4409903408460085
临夏回族自治州,4,5.456281544127676
海北藏族自治州,2,0.5815644082582145
林芝市,4,0.3502166965810095
兰州市,482,365.3729533050333
日喀则市,2,0.1115822361080116
贵阳市,375,466.2439388287952
毕节市,9,3.3520801519609664
博尔塔拉蒙古自治州,6,0.2205882352941176
吐鲁番市,3,0.4300520362963918
攀枝花市,11,14.842801241397922
自贡市,32,73.19304666056723
安顺市,1,1.083658430862592
克拉玛依市,25,32.32897969740075
银川市,178,197.2216128295983
喀什地区,11,0.9874504030593008
内江市,20,37.140204271123494
塔城地区,4,0.42153655554471264
丽江市,10,4.864996351252737
昌吉回族自治州,17,2.307888321555636
遂宁市,18,33.82187147688839
乐山市,10,7.861635220125786
石河子市,5,802.5682182985554
昆明市,535,254.6042925807833
中卫市,7,4.013393266672782
固原市,10,9.502993442934525
德宏傣族景颇族自治州,7,6.265664160401003
成都市,1721,1200.5580746424835
巴中市,8,6.505651784988208
甘南藏族自治州,1,0.2732688418866481
海东市,4,3.0811893390848866
北屯市,1,10.97694840834248
达州市,11,6.63129973474801
昭通市,12,5.347831899817282
哈密市,9,0.6558715074842226
红河哈尼族彝族自治州,20,6.216199415677255
雅安市,7,4.6523993087863875
甘孜藏族自治州,1,0.06680785393130816
海南藏族自治州,1,0.02247191011235955
眉山市,26,36.41456582633053
泸州市,34,27.802763921825168
普洱市,12,2.7108842000632536
玉溪市,10,6.692544505420961
阿克苏地区,19,1.48650023079872
五家渠市,1,13.477088948787062
保山市,6,3.1476235442241105
西双版纳傣族自治州,10,5.236698785085881
宜宾市,38,28.63386331097882
吴忠市,10,5.967299200381906
阿里地区,1,0.02965818936753911
楚雄彝族自治州,18,6.329336474559583
绵阳市,120,59.23878165572395
德阳市,44,74.43748942649297
文山壮族苗族自治州,8,2.5432349949135302
临沧市,6,2.5401126116591164
石嘴山市,11,27.000490918016688
大理白族自治州,13,4.593314960073493
巴音郭楞蒙古自治州,67,1.4209184647294104
广安市,12,18.93043066729768
曲靖市,28,9.688581314878892
伊犁哈萨克自治州,17,0.6096425002586497
怒江傈僳族自治州,1,0.6856359273225916
凉山彝族自治州,21,3.484840941902723
广元市,21,12.868435565904772
乌鲁木齐市,380,267.298804892975
资阳市,15,26.10057421263268
南充市,42,33.648453773433744
延安市,31,8.371364532418784
咸阳市,52,51.02541458149347
克孜勒苏柯尔克孜自治州,1,0.13799194127062978
商洛市,3,1.531628120692296
阿拉尔市,1,1.4443770401825693
阿坝藏族羌族自治州,3,0.3614370738054505
迪庆藏族自治州,3,1.2938842404899509
渭南市,28,21.48722277645614
安康市,24,10.19714479945615
榆林市,93,21.668219944082015
宝鸡市,68,37.5338080256113
汉中市,24,8.857069048234122
铜川市,9,23.166023166023166
西安市,2053,2025.6536753823384
