城市,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
七台河市,,,,,,,,,,,,,,,,3,6,7,13,18,26,46,70,92,112,136,158,180,202,224,246
三亚市,5.0,5.0,6.0,7.0,7.0,8.0,12.0,15.0,18.0,27.0,32.0,40.0,54.0,72.0,111.0,151,199,260,416,667,1941,4039,10187,12240,13705,17955,20802,23649,26495,29342,32189
三明市,4.0,4.0,5.0,6.0,8.0,12.0,13.0,14.0,14.0,19.0,26.0,34.0,45.0,60.0,77.0,104,147,178,287,398,594,849,1145,1459,1774,1958,2226,2493,2760,3027,3295
三门峡市,1.0,2.0,2.0,2.0,3.0,4.0,4.0,5.0,5.0,9.0,10.0,11.0,13.0,15.0,20.0,22,30,39,61,89,141,288,420,557,675,785,907,1028,1150,1271,1393
上海市,304.0,394.0,513.0,692.0,907.0,1119.0,1313.0,1499.0,1685.0,2004.0,2411.0,2919.0,3420.0,4059.0,5080.0,6249,7546,8966,11202,13811,22351,37339,51658,72082,86076,109386,128052,146718,165384,184050,202716
上饶市,2.0,2.0,2.0,3.0,3.0,7.0,8.0,12.0,17.0,20.0,26.0,32.0,44.0,57.0,91.0,132,163,225,287,371,833,1275,1702,2297,2600,3184,3656,4128,4600,5072,5544
东莞市,21.0,29.0,40.0,47.0,60.0,85.0,108.0,142.0,190.0,231.0,306.0,381.0,473.0,573.0,731.0,909,1182,1571,2141,2781,3672,6125,8625,11311,15695,16651,19335,22019,24703,27386,30070
东营市,5.0,11.0,17.0,23.0,29.0,34.0,41.0,47.0,53.0,63.0,72.0,92.0,107.0,127.0,185.0,253,345,439,549,695,953,1499,2105,2665,2916,3786,4347,4908,5468,6029,6590
中卫市,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,7.0,9.0,12.0,15,20,29,36,41,74,128,162,198,241,281,322,362,402,442,482
中山市,10.0,13.0,18.0,26.0,33.0,44.0,49.0,58.0,73.0,92.0,107.0,133.0,157.0,193.0,256.0,329,426,575,769,1013,1546,2657,3753,4894,5817,7184,8332,9480,10629,11777,12925
临汾市,3.0,4.0,6.0,7.0,8.0,9.0,9.0,10.0,13.0,14.0,18.0,21.0,24.0,32.0,43.0,68,93,115,153,201,279,537,810,1074,1292,1602,1866,2130,2394,2658,2922
临沂市,12.0,17.0,22.0,28.0,38.0,49.0,58.0,63.0,74.0,85.0,97.0,115.0,142.0,171.0,259.0,399,550,753,1053,1497,2565,4731,6572,8144,8833,11621,13351,15080,16809,18539,20268
临沧市,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,6.0,12.0,21.0,27,35,45,56,68,79,111,168,239,529,381,452,523,594,665,736
丹东市,7.0,7.0,11.0,13.0,15.0,17.0,17.0,19.0,20.0,24.0,28.0,34.0,40.0,47.0,55.0,69,75,92,115,139,216,326,381,470,531,637,720,803,885,968,1051
丽水市,6.0,6.0,8.0,11.0,15.0,17.0,18.0,19.0,21.0,27.0,39.0,45.0,53.0,65.0,77.0,99,126,176,235,311,597,907,1195,1484,1703,2076,2371,2665,2960,3254,3548
丽江市,2.0,2.0,2.0,3.0,5.0,5.0,6.0,6.0,6.0,6.0,8.0,8.0,10.0,12.0,14.0,21,29,40,55,63,85,134,198,284,394,456,542,628,714,800,886
乌兰察布市,,,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,6.0,7.0,10.0,14.0,17,29,48,75,104,125,190,261,376,455,604,718,832,947,1061,1175
乌海市,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,7.0,9.0,12.0,13.0,14.0,15.0,19.0,21,26,31,43,52,62,104,143,208,243,329,390,451,513,574,635
乌鲁木齐市,34.0,43.0,55.0,71.0,93.0,121.0,154.0,180.0,206.0,239.0,266.0,311.0,380.0,457.0,576.0,700,880,1063,1280,1591,2541,3878,4976,6656,8375,9016,10286,11557,12827,14098,15368
乐山市,2.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,6.0,7.0,7.0,10.0,17.0,21.0,37,42,58,79,107,142,230,326,465,607,743,882,1021,1160,1299,1438
九江市,3.0,4.0,5.0,9.0,10.0,11.0,12.0,13.0,18.0,24.0,30.0,42.0,49.0,59.0,88.0,121,168,221,279,381,803,1651,3077,4027,4362,6180,7245,8310,9376,10441,11506
云浮市,,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,6.0,9.0,9.0,12.0,15,19,29,41,55,84,166,214,286,331,398,457,516,575,635,694
亳州市,,,,,,1.0,1.0,2.0,2.0,3.0,5.0,8.0,10.0,15.0,21.0,28,47,66,97,129,170,422,854,1089,1239,1566,1804,2041,2279,2517,2755
伊春市,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,3,3,5,14,19,30,59,86,97,140,167,194,221,248,275
佛山市,45.0,51.0,61.0,79.0,108.0,125.0,152.0,178.0,198.0,242.0,298.0,364.0,433.0,537.0,691.0,850,1086,1401,1894,2528,3796,6666,8764,11657,13573,16380,18827,21274,23721,26168,28616
佳木斯市,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,11.0,12.0,13.0,14.0,17,26,35,42,49,71,126,216,349,471,615,748,881,1014,1147,1280
保定市,8.0,10.0,13.0,15.0,19.0,21.0,25.0,30.0,37.0,45.0,56.0,60.0,70.0,83.0,114.0,156,220,300,507,742,948,1202,1840,3459,5613,6676,8287,9898,11509,13121,14732
保山市,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,6.0,8.0,10.0,16,21,31,43,56,75,105,176,284,362,500,608,716,824,932,1040
信阳市,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,9.0,13.0,15.0,23.0,27.0,35.0,43.0,66,93,129,184,277,408,707,978,1303,1577,1922,2238,2553,2868,3183,3498
儋州市,,,,,,,,1.0,1.0,2.0,3.0,5.0,7.0,9.0,14.0,19,31,47,81,121,393,1084,2489,2668,2742,3757,4301,4845,5389,5933,6477
克拉玛依市,2.0,5.0,5.0,7.0,8.0,10.0,12.0,13.0,13.0,13.0,16.0,20.0,25.0,28.0,37.0,45,51,58,69,79,115,179,227,283,366,385,437,489,541,593,645
六安市,1.0,2.0,2.0,2.0,4.0,6.0,8.0,10.0,12.0,13.0,20.0,22.0,26.0,37.0,49.0,63,86,125,171,237,336,675,1326,1846,2066,2891,3413,3936,4458,4980,5503
六盘水市,,,,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,5.0,8.0,10.0,16.0,19,27,45,72,101,152,251,450,697,928,1191,1438,1685,1932,2179,2426
兰州市,43.0,55.0,67.0,83.0,112.0,131.0,169.0,201.0,238.0,288.0,353.0,416.0,482.0,540.0,690.0,847,1051,1276,1577,1925,2267,3292,4327,5959,7148,9051,10611,12171,13731,15291,16851
内江市,3.0,4.0,5.0,8.0,8.0,9.0,9.0,10.0,13.0,15.0,16.0,18.0,20.0,27.0,30.0,38,46,68,91,122,161,236,344,455,616,677,788,899,1010,1121,1232
