城市,聚类,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
七台河市,0,18,26,46,70,92,114,136,158,180,202,224,246
三亚市,0,667,1941,4039,10187,12240,15108,17955,20802,23649,26495,29342,32189
三明市,0,398,594,849,1145,1459,1691,1958,2226,2493,2760,3027,3295
三门峡市,0,89,141,288,420,557,664,785,907,1028,1150,1271,1393
上海市,2,13811,22351,37339,51658,72082,90720,109386,128052,146718,165384,184050,202716
上饶市,0,371,833,1275,1702,2297,2712,3184,3656,4128,4600,5072,5544
东莞市,1,2781,3672,6125,8625,11311,13967,16651,19335,22019,24703,27386,30070
东营市,0,695,953,1499,2105,2665,3226,3786,4347,4908,5468,6029,6590
中卫市,0,41,74,128,162,198,241,281,322,362,402,442,482
中山市,0,1013,1546,2657,3753,4894,6036,7184,8332,9480,10629,11777,12925
临汾市,0,201,279,537,810,1074,1338,1602,1866,2130,2394,2658,2922
临沂市,0,1497,2565,4731,6572,8144,9892,11621,13351,15080,16809,18539,20268
临沧市,0,68,79,111,168,239,310,381,452,523,594,665,736
丹东市,0,139,216,326,381,470,555,637,720,803,885,968,1051
丽水市,0,311,597,907,1195,1484,1782,2076,2371,2665,2960,3254,3548
丽江市,0,63,85,134,198,284,370,456,542,628,714,800,886
乌兰察布市,0,104,125,190,261,376,490,604,718,832,947,1061,1175
乌海市,0,52,62,104,143,208,267,329,390,451,513,574,635
乌鲁木齐市,0,1591,2541,3878,4976,6656,7745,9016,10286,11557,12827,14098,15368
乐山市,0,107,142,230,326,465,604,743,882,1021,1160,1299,1438
九江市,0,381,803,1651,3077,4027,5115,6180,7245,8310,9376,10441,11506
云浮市,0,55,84,166,214,286,339,398,457,516,575,635,694
亳州市,0,129,170,422,854,1089,1328,1566,1804,2041,2279,2517,2755
伊春市,0,14,19,30,59,86,113,140,167,194,221,248,275
佛山市,1,2528,3796,6666,8764,11657,13933,16380,18827,21274,23721,26168,28616
佳木斯市,0,49,71,126,216,349,482,615,748,881,1014,1147,1280
保定市,0,742,948,1202,1840,3459,5065,6676,8287,9898,11509,13121,14732
保山市,0,56,75,105,176,284,392,500,608,716,824,932,1040
信阳市,0,277,408,707,978,1303,1607,1922,2238,2553,2868,3183,3498
儋州市,0,121,393,1084,2489,2668,3214,3757,4301,4845,5389,5933,6477
克拉玛依市,0,79,115,179,227,283,333,385,437,489,541,593,645
六安市,0,237,336,675,1326,1846,2369,2891,3413,3936,4458,4980,5503
六盘水市,0,101,152,251,450,697,944,1191,1438,1685,1932,2179,2426
兰州市,0,1925,2267,3292,4327,5959,7491,9051,10611,12171,13731,15291,16851
内江市,0,122,161,236,344,455,566,677,788,899,1010,1121,1232
包头市,0,421,527,767,1080,1425,1767,2113,2458,2803,3148,3494,3839
北京市,2,26634,32541,42123,69851,103656,137457,171290,205123,238955,272788,306621,340453
北海市,0,202,352,608,796,947,1161,1355,1548,1741,1935,2128,2322
十堰市,0,373,467,827,1164,1593,2002,2420,2838,3256,3674,4092,4510
南京市,1,7181,13865,21164,25945,32418,37726,43281,48837,54392,59948,65504,71059
南充市,0,341,495,716,974,1229,1451,1673,1895,2117,2339,2561,2783
南宁市,0,3505,5324,8467,11833,14507,17287,20143,22999,25855,28710,31566,34422
南平市,0,216,330,507,709,957,1205,1453,1701,1949,2197,2445,2693
南昌市,0,1837,3145,5051,7147,8843,10615,12420,14225,16030,17835,19640,21445
南通市,0,940,1926,3054,4128,5549,6545,7688,8830,9972,11114,12256,13398
南阳市,0,498,710,1279,1847,2686,3474,4280,5085,5890,6695,7500,8306
厦门市,1,7123,10951,16970,21657,25874,29675,33531,37387,41244,45100,48957,52813
双鸭山市,0,12,19,29,52,95,138,181,224,267,310,353,396
