城市,聚类,2024_增长率,2025_增长率,2026_增长率,2027_增长率,2028_增长率,2029_增长率,2030_增长率
七台河市,0,0.2391,0.193,0.1618,0.1392,0.1222,0.1089,0.0982
三亚市,0,0.2343,0.1884,0.1586,0.1369,0.1203,0.1075,0.097
三明市,0,0.159,0.1579,0.1369,0.1199,0.1071,0.0967,0.0885
三门峡市,0,0.1921,0.1822,0.1554,0.1334,0.1187,0.1052,0.096
上海市,2,0.2586,0.2058,0.1706,0.1458,0.1272,0.1129,0.1014
上饶市,0,0.1807,0.174,0.1482,0.1291,0.1143,0.1026,0.0931
东莞市,1,0.2348,0.1922,0.1612,0.1388,0.1219,0.1086,0.098
东营市,0,0.2105,0.1736,0.1482,0.1291,0.1141,0.1026,0.0931
中卫市,0,0.2172,0.166,0.1459,0.1242,0.1105,0.0995,0.0905
中山市,0,0.2333,0.1902,0.1598,0.1378,0.1212,0.108,0.0975
临汾市,0,0.2458,0.1973,0.1648,0.1415,0.1239,0.1103,0.0993
临沂市,0,0.2146,0.1748,0.1489,0.1295,0.1147,0.1029,0.0933
临沧市,0,0.2971,0.229,0.1864,0.1571,0.1358,0.1195,0.1068
丹东市,0,0.1809,0.1477,0.1303,0.1153,0.1021,0.0938,0.0857
丽水市,0,0.2008,0.165,0.1421,0.124,0.1107,0.0993,0.0904
丽江市,0,0.3028,0.2324,0.1886,0.1587,0.1369,0.1204,0.1075
乌兰察布市,0,0.3032,0.2327,0.1887,0.1588,0.1382,0.1204,0.1074
乌海市,0,0.2837,0.2322,0.1854,0.1564,0.1375,0.1189,0.1063
乌鲁木齐市,0,0.1636,0.1641,0.1409,0.1236,0.1099,0.0991,0.0901
乐山市,0,0.2989,0.2301,0.1871,0.1576,0.1361,0.1198,0.107
九江市,0,0.2702,0.2082,0.1723,0.147,0.1283,0.1136,0.102
云浮市,0,0.1853,0.174,0.1482,0.1291,0.1143,0.1043,0.0929
亳州市,0,0.2195,0.1792,0.152,0.1314,0.1166,0.1044,0.0946
伊春市,0,0.314,0.2389,0.1929,0.1617,0.1392,0.1222,0.1089
佛山市,1,0.1952,0.1756,0.1494,0.13,0.115,0.1032,0.0935
佳木斯市,0,0.3811,0.2759,0.2163,0.1778,0.151,0.1312,0.116
保定市,0,0.4643,0.3181,0.2413,0.1944,0.1628,0.1401,0.1228
保山市,0,0.3803,0.2755,0.216,0.1776,0.1508,0.1311,0.1159
信阳市,0,0.2333,0.196,0.1644,0.1408,0.1234,0.1098,0.099
儋州市,0,0.2046,0.1689,0.1448,0.1265,0.1123,0.1009,0.0917
克拉玛依市,0,0.1767,0.1562,0.1351,0.119,0.1063,0.0961,0.0877
六安市,0,0.2833,0.2203,0.1806,0.1532,0.1326,0.1171,0.105
六盘水市,0,0.3544,0.2617,0.2074,0.1718,0.1466,0.1278,0.1134
兰州市,0,0.2571,0.2082,0.1724,0.147,0.1282,0.1136,0.102
内江市,0,0.244,0.1961,0.164,0.1409,0.1235,0.1099,0.099
