城市,全部企业
七台河市,13
万宁市,11
三亚市,416
三明市,287
三沙市,4
三门峡市,61
上海市,11202
上饶市,287
东方市,11
东莞市,2141
东营市,549
中卫市,36
中山市,769
临夏回族自治州,42
临汾市,153
临沂市,1053
临沧市,56
临高县,3
丹东市,115
丽水市,235
丽江市,55
乌兰察布市,75
乌海市,43
乌鲁木齐市,1280
乐东黎族自治县,17
乐山市,79
九江市,279
云浮市,41
五家渠市,13
五指山市,2
亳州市,97
仙桃市,50
伊春市,5
伊犁哈萨克自治州,134
佛山市,1894
佳木斯市,42
保亭黎族苗族自治县,9
保定市,507
保山市,43
信阳市,184
儋州市,81
克孜勒苏柯尔克孜自治州,13
克拉玛依市,69
六安市,171
六盘水市,72
兰州市,1577
兴安盟,36
内江市,91
凉山彝族自治州,122
包头市,341
北京市,21833
北屯市,6
北海市,144
十堰市,291
南京市,5412
南充市,227
南宁市,2778
南平市,173
南昌市,1442
南通市,736
南阳市,381
博尔塔拉蒙古自治州,16
厦门市,5835
双河市,3
双鸭山市,10
可克达拉市,2
台州市,438
合肥市,4190
吉安市,185
吉林市,278
吐鲁番市,13
吕梁市,98
吴忠市,60
周口市,177
呼伦贝尔市,80
呼和浩特市,801
和田地区,35
咸宁市,152
咸阳市,312
哈密市,54
哈尔滨市,1140
唐山市,422
商丘市,112
商洛市,36
喀什地区,108
嘉兴市,955
嘉峪关市,56
四平市,50
固原市,66
塔城地区,23
大兴安岭地区,7
大同市,98
大庆市,204
大理白族自治州,80
大连市,1526
天水市,117
天津市,5243
天门市,18
太原市,1533
威海市,450
娄底市,131
孝感市,156
宁德市,525
宁波市,2405
安庆市,204
安康市,141
安阳市,189
安顺市,69
定安县,3
定西市,73
宜宾市,217
宜昌市,493
宜春市,250
宝鸡市,407
宣城市,89
宿州市,144
宿迁市,357
屯昌县,6
山南市,11
山西转型综合改革示范区,7
岳阳市,141
崇左市,46
巴中市,75
巴彦淖尔市,60
巴音郭楞蒙古自治州,186
常州市,997
常德市,102
平凉市,115
平顶山市,158
广元市,117
广安市,79
广州市,17476
庆阳市,184
廊坊市,273
延安市,168
延边朝鲜族自治州,85
开封市,174
张家口市,165
张家界市,46
张掖市,144
徐州市,971
德宏傣族景颇族自治州,22
德州市,399
德阳市,185
忻州市,65
怀化市,90
怒江傈僳族自治州,11
恩施土家族苗族自治州,232
惠州市,815
成都市,7638
扬州市,638
承德市,97
抚州市,153
抚顺市,77
拉萨市,248
揭阳市,87
攀枝花市,79
文山壮族苗族自治州,53
文昌市,29
新乡市,258
新余市,91
新星市,3
无锡市,1790
日喀则市,10
日照市,407
昆明市,2065
昌吉回族自治州,91
昌江黎族自治县,4
昌都市,12
昭通市,68
晋中市,174
晋城市,175
普洱市,38
景德镇市,68
曲靖市,126
朔州市,75
朝阳市,92
本溪市,54
来宾市,49
杭州市,8782
松原市,79
林芝市,16
枣庄市,337
柳州市,485
株洲市,279
桂林市,362
梅州市,170
梧州市,76
楚雄彝族自治州,85
榆林市,455
武威市,101
武汉市,5774
毕节市,78
永州市,100
汉中市,147
汕头市,332
汕尾市,56
江门市,292
池州市,64
沈阳市,2315
沧州市,153
河池市,58
河源市,182
泉州市,1426
泰安市,534
泰州市,367
泸州市,182
洛阳市,565
济南市,4894
济宁市,823
济源市,39
海东市,36
海北藏族自治州,11
海南省洋浦经济开发区,1
海南藏族自治州,11
海口市,1904
海西蒙古族藏族自治州,35
淄博市,689
淮北市,99
淮南市,120
淮安市,330
深圳市,17869
清远市,85
温州市,1407
渭南市,169
湖州市,465
湘潭市,139
湘西土家族苗族自治州,43
湛江市,302
滁州市,168
滨州市,424
漯河市,104
漳州市,683
潍坊市,918
潜江市,20
潮州市,72
澄迈县,154
濮阳市,88
烟台市,1096
焦作市,128
牡丹江市,84
玉林市,167
玉树藏族自治州,3
玉溪市,56
珠海市,2516
