城市,新增,注销,净增加
三亚市,5,0.0,5
三明市,7,0.0,7
三门峡市,1,0.0,1
上海市,408,1.0,407
上饶市,6,0.0,6
东莞市,75,0.0,75
东营市,9,0.0,9
中卫市,1,0.0,1
中山市,15,0.0,15
临汾市,4,0.0,4
临沂市,12,0.0,12
临沧市,3,0.0,3
临高县,1,0.0,1
丹东市,4,0.0,4
丽水市,12,0.0,12
丽江市,2,0.0,2
乌兰察布市,1,0.0,1
乌海市,3,0.0,3
乌鲁木齐市,27,0.0,27
乐山市,1,0.0,1
九江市,6,0.0,6
云浮市,2,0.0,2
五指山市,1,0.0,1
亳州市,2,0.0,2
仙桃市,2,0.0,2
伊犁哈萨克自治州,2,0.0,2
佛山市,56,0.0,56
佳木斯市,2,0.0,2
保定市,11,0.0,11
保山市,1,0.0,1
信阳市,2,0.0,2
儋州市,1,0.0,1
克拉玛依市,3,0.0,3
六安市,7,0.0,7
兰州市,65,0.0,65
兴安盟,1,0.0,1
内江市,1,0.0,1
凉山彝族自治州,4,0.0,4
包头市,10,0.0,10
北京市,700,0.0,700
北海市,4,0.0,4
十堰市,5,0.0,5
南京市,174,0.0,174
南充市,3,0.0,3
南宁市,75,0.0,75
南平市,4,0.0,4
南昌市,41,0.0,41
南通市,37,0.0,37
南阳市,9,0.0,9
博尔塔拉蒙古自治州,1,0.0,1
厦门市,185,0.0,185
台州市,17,0.0,17
合肥市,86,0.0,86
吉安市,3,0.0,3
吉林市,12,0.0,12
吕梁市,3,0.0,3
吴忠市,2,0.0,2
周口市,3,0.0,3
呼伦贝尔市,3,0.0,3
呼和浩特市,9,0.0,9
和田地区,1,0.0,1
咸宁市,3,0.0,3
咸阳市,10,0.0,10
哈密市,2,0.0,2
哈尔滨市,37,0.0,37
唐山市,11,0.0,11
商丘市,3,0.0,3
喀什地区,1,0.0,1
嘉兴市,22,0.0,22
嘉峪关市,1,0.0,1
固原市,1,0.0,1
大同市,5,0.0,5
大庆市,7,0.0,7
大连市,55,0.0,55
天水市,3,0.0,3
天津市,111,0.0,111
太原市,47,0.0,47
威海市,10,0.0,10
娄底市,6,0.0,6
孝感市,6,0.0,6
宁德市,12,0.0,12
宁波市,67,0.0,67
安庆市,3,0.0,3
安康市,3,0.0,3
安阳市,5,0.0,5
安顺市,1,0.0,1
定安县,1,0.0,1
宜宾市,3,0.0,3
宜昌市,16,0.0,16
宜春市,3,0.0,3
宝鸡市,10,0.0,10
宿州市,5,0.0,5
宿迁市,9,0.0,9
岳阳市,2,0.0,2
崇左市,1,0.0,1
巴中市,1,0.0,1
巴彦淖尔市,1,0.0,1
巴音郭楞蒙古自治州,11,0.0,11
常州市,27,0.0,27
常德市,3,0.0,3
平顶山市,5,0.0,5
广元市,2,0.0,2
广安市,3,0.0,3
广州市,423,0.0,423
庆阳市,1,0.0,1
廊坊市,6,0.0,6
延安市,5,0.0,5
延边朝鲜族自治州,3,0.0,3
开封市,1,0.0,1
张家口市,1,0.0,1
张家界市,2,0.0,2
张掖市,1,0.0,1
徐州市,20,0.0,20
德州市,8,0.0,8
德阳市,4,0.0,4
怀化市,1,0.0,1
恩施土家族苗族自治州,3,0.0,3
惠州市,19,0.0,19
成都市,236,0.0,236
扬州市,16,0.0,16
承德市,2,0.0,2
抚州市,2,0.0,2
抚顺市,3,0.0,3
拉萨市,8,0.0,8
揭阳市,1,0.0,1
攀枝花市,3,0.0,3
文山壮族苗族自治州,2,0.0,2
新乡市,5,0.0,5
新余市,4,0.0,4
无锡市,47,0.0,47
日喀则市,1,0.0,1
日照市,9,0.0,9
昆明市,64,0.0,64
昌吉回族自治州,1,0.0,1
昭通市,2,0.0,2
晋中市,4,0.0,4
晋城市,4,0.0,4
曲靖市,4,0.0,4
朔州市,1,0.0,1
朝阳市,1,0.0,1
本溪市,2,0.0,2
杭州市,291,1.0,290
林芝市,1,0.0,1
枣庄市,6,0.0,6
柳州市,10,0.0,10
株洲市,6,0.0,6
桂林市,6,0.0,6
梅州市,6,0.0,6
梧州市,1,0.0,1
楚雄彝族自治州,2,0.0,2
榆林市,12,0.0,12
武汉市,156,0.0,156
毕节市,1,0.0,1
永州市,3,0.0,3
汉中市,2,0.0,2
汕头市,17,0.0,17
汕尾市,1,0.0,1
江门市,7,0.0,7
池州市,1,0.0,1
沈阳市,73,0.0,73
沧州市,5,0.0,5
河池市,1,0.0,1
河源市,5,0.0,5
泉州市,29,0.0,29
泰安市,8,0.0,8
泰州市,8,0.0,8
泸州市,4,0.0,4
洛阳市,6,0.0,6
济南市,128,0.0,128
济宁市,17,0.0,17
济源市,2,0.0,2
海南藏族自治州,1,0.0,1
海口市,59,0.0,59
淄博市,12,0.0,12
淮北市,3,0.0,3
淮南市,1,0.0,1
淮安市,5,0.0,5
深圳市,337,0.0,337
清远市,2,0.0,2
温州市,52,0.0,52
渭南市,4,0.0,4
湖州市,10,0.0,10
湘潭市,3,0.0,3
湛江市,16,0.0,16
滁州市,5,0.0,5
滨州市,6,0.0,6
漳州市,13,0.0,13
潍坊市,17,0.0,17
潮州市,1,0.0,1
澄迈县,6,0.0,6
烟台市,33,0.0,33
焦作市,4,0.0,4
牡丹江市,3,0.0,3
玉林市,4,0.0,4
玉溪市,1,0.0,1
珠海市,58,0.0,58
琼海市,1,0.0,1
白银市,1,0.0,1
百色市,5,0.0,5
益阳市,1,0.0,1
盐城市,13,0.0,13
盘锦市,4,0.0,4
眉山市,4,0.0,4
石嘴山市,2,0.0,2
石家庄市,29,0.0,29
福州市,149,0.0,149
秦皇岛市,2,0.0,2
红河哈尼族彝族自治州,6,0.0,6
绍兴市,10,0.0,10
绵阳市,19,0.0,19
聊城市,8,0.0,8
肇庆市,4,0.0,4
自贡市,4,0.0,4
舟山市,5,0.0,5
