城市,经度,纬度,面积
北京市,116.407387,39.904179,16410.54
上海市,121.473667,31.230525,6340.5
深圳市,114.057939,22.543527,2050.0
广州市,113.264499,23.130061,7434.4
杭州市,120.210792,30.246026,16853.57
成都市,104.066301,30.572961,14335.0
济南市,117.120128,36.652069,10244.0
合肥市,117.227267,31.820567,11445.0
苏州市,120.585294,31.299758,8657.32
青岛市,120.382665,36.066938,11293.0
郑州市,113.625351,34.746303,7567.18
天津市,117.201509,39.085318,11966.0
无锡市,120.311889,31.491064,4627.46
佛山市,113.121586,23.021351,3797.72
宁波市,121.62454,29.860258,9365.58
南宁市,108.366407,22.8177,22099.0
太原市,112.549656,37.870451,6988.0
东莞市,113.751884,23.021016,2460.08
兰州市,103.834228,36.060798,13192.0
沈阳市,123.464675,41.677576,12980.0
嘉兴市,120.755623,30.746814,4223.0
中山市,113.392517,22.517024,1783.67
常州市,119.974092,31.811313,4372.0
济宁市,116.587116,35.415117,11187.0
金华市,119.647265,29.079195,10942.0
南通市,120.894522,31.981269,10549.0
临沂市,118.356464,35.103771,17191.0
呼和浩特市,111.748814,40.842127,17186.0
长春市,125.323643,43.816996,24744.0
保定市,115.464523,38.874476,22185.0
漳州市,117.647298,24.515297,12882.27
唐山市,118.180149,39.63068,13472.0
威海市,122.120519,37.513315,5797.0
淄博市,118.054994,36.813787,5965.0
绵阳市,104.679127,31.467673,20257.0
德州市,116.359244,37.436492,10358.0
赣州市,114.933494,25.831139,39363.0
日照市,119.52685,35.416912,5359.0
新乡市,113.92679,35.303589,8291.0
绍兴市,120.582886,30.051549,8279.0
泰州市,119.922883,32.456692,5787.0
洛阳市,112.453895,34.619702,15236.0
衢州市,118.859307,28.970229,8845.0
咸阳市,108.708837,34.329896,10191.0
盐城市,120.16263,33.348176,16972.0
六安市,116.519729,31.735892,15451.0
马鞍山市,118.50685,31.668765,4049.0
滨州市,117.970731,37.382687,9172.0
桂林市,110.179752,25.235615,27667.0
许昌市,113.852004,34.03732,4979.0
邯郸市,114.53915,36.625849,12065.0
上饶市,117.943064,28.45513,22737.0
焦作市,113.241902,35.215726,3972.0
宜宾市,104.642826,28.752354,13271.0
鄂尔多斯市,109.782473,39.608744,86882.0
滁州市,118.333439,32.255904,13516.0
怀化市,110.001598,27.569813,27573.0
肇庆市,112.465245,23.047747,14891.0
邵阳市,111.467855,27.239528,20824.0
西宁市,101.777795,36.616621,7607.0
通辽市,122.243309,43.653566,58861.0
丹东市,124.354419,40.000646,15290.0
汕头市,116.681956,23.354152,2199.04
潮州市,116.621901,23.657662,3146.0
天水市,105.724828,34.581514,14277.0
商丘市,115.656358,34.415165,10704.0
三门峡市,111.200482,34.773196,9936.0
濮阳市,115.029246,35.762731,4271.0
包头市,109.95315,40.621327,27768.0
汉中市,107.02319,33.066373,27097.0
安庆市,117.115349,30.531828,13538.0
亳州市,115.778588,33.846285,8521.0
平凉市,106.664913,35.542417,11171.0
宿迁市,118.275228,33.963186,8524.0
乐山市,103.766085,29.552275,12720.0
湘潭市,112.945439,27.83136,5006.0
南充市,106.110565,30.837235,12482.0
阳江市,111.98343,21.856853,7955.0
内江市,105.057992,29.58021,5385.0
广元市,105.844004,32.435774,16319.0
四平市,124.350599,43.166764,10242.0
莆田市,119.007662,25.454202,4131.0
吉林市,126.549719,43.838132,27711.0
衡水市,115.668987,37.739367,8837.0
常德市,111.69905,29.031446,18177.0
黄山市,118.337643,29.714886,9807.0
安顺市,105.9476,26.253103,9228.0
钦州市,108.654355,21.980894,10879.0
南京市,118.796624,32.059344,6587.31
武汉市,114.304569,30.593354,8569.15
西安市,108.939645,34.343207,10135.0
长沙市,112.938882,28.228304,11820.0
潍坊市,119.161721,36.707668,16143.0
拉萨市,91.171924,29.653491,29634.01
大连市,121.614786,38.913962,13237.0
台州市,121.42079,28.655716,10038.0
惠州市,114.415587,23.112368,11346.0
扬州市,119.412834,32.394404,6591.21
石家庄市,114.514976,38.042007,14060.0
温州市,120.699279,27.993849,12065.0
柳州市,109.428071,24.326442,18597.0
重庆市,106.550483,29.563707,82300.0
龙岩市,117.017362,25.075884,19028.0
河北省,114.530399,38.037707,188800.0
株洲市,113.132783,27.828862,12262.0
珠海市,113.576892,22.271644,1736.46
玉溪市,102.526673,24.346786,14942.0
厦门市,118.08891,24.479627,1912.0
周口市,114.701222,33.634652,11961.0
泰安市,117.086963,36.201784,7761.0
烟台市,121.447755,37.464551,36352.0
德阳市,104.397795,31.127449,5911.0
宜昌市,111.286962,30.69217,21084.0
张家口市,114.885895,40.768931,36797.0
贵阳市,106.628201,26.646694,8043.0
荆门市,112.199009,31.035445,12339.0
镇江市,119.424441,32.188141,3840.0
枣庄市,117.323759,34.810858,4564.0
娄底市,111.994468,27.699838,8110.0
渭南市,109.470962,34.520632,13031.0
菏泽市,115.479646,35.234309,12155.0
林芝市,94.361436,29.64875,114215.0
乌鲁木齐市,87.616824,43.825377,14216.3
伊春市,128.840863,47.728332,32800.0
酒泉市,98.49432,39.733416,192000.0
襄阳市,112.121743,32.010161,19728.0
鞍山市,122.994183,41.108239,9255.0
衡阳市,112.572016,26.894216,15299.0
茂名市,110.925533,21.662728,11427.0
鹤壁市,114.297305,35.748329,2140.0
聊城市,115.985238,36.455857,8628.0
巴彦淖尔市,107.387767,40.742987,65140.0
淮北市,116.798362,33.956264,2741.0
萍乡市,113.887147,27.658721,3831.0
白银市,104.138872,36.545123,20099.0
蚌埠市,117.388566,32.91682,5951.0
