城市,经度,纬度
北京市,116.407387,39.904179
上海市,121.473667,31.230525
深圳市,114.057939,22.543527
广州市,113.264499,23.130061
杭州市,120.210792,30.246026
成都市,104.066301,30.572961
济南市,117.120128,36.652069
合肥市,117.227267,31.820567
苏州市,120.585294,31.299758
青岛市,120.382665,36.066938
郑州市,113.625351,34.746303
天津市,117.201509,39.085318
无锡市,120.311889,31.491064
佛山市,113.121586,23.021351
宁波市,121.62454,29.860258
南宁市,108.366407,22.8177
太原市,112.549656,37.870451
东莞市,113.751884,23.021016
兰州市,103.834228,36.060798
沈阳市,123.464675,41.677576
嘉兴市,120.755623,30.746814
中山市,113.392517,22.517024
常州市,119.974092,31.811313
济宁市,116.587116,35.415117
金华市,119.647265,29.079195
南通市,120.894522,31.981269
临沂市,118.356464,35.103771
呼和浩特市,111.748814,40.842127
长春市,125.323643,43.816996
保定市,115.464523,38.874476
漳州市,117.647298,24.515297
唐山市,118.180149,39.63068
威海市,122.120519,37.513315
淄博市,118.054994,36.813787
绵阳市,104.679127,31.467673
德州市,116.359244,37.436492
赣州市,114.933494,25.831139
日照市,119.52685,35.416912
新乡市,113.92679,35.303589
绍兴市,120.582886,30.051549
泰州市,119.922883,32.456692
洛阳市,112.453895,34.619702
衢州市,118.859307,28.970229
咸阳市,108.708837,34.329896
盐城市,120.16263,33.348176
六安市,116.519729,31.735892
马鞍山市,118.50685,31.668765
滨州市,117.970731,37.382687
桂林市,110.179752,25.235615
许昌市,113.852004,34.03732
邯郸市,114.53915,36.625849
上饶市,117.943064,28.45513
焦作市,113.241902,35.215726
宜宾市,104.642826,28.752354
鄂尔多斯市,109.782473,39.608744
滁州市,118.333439,32.255904
怀化市,110.001598,27.569813
肇庆市,112.465245,23.047747
邵阳市,111.467855,27.239528
西宁市,101.777795,36.616621
通辽市,122.243309,43.653566
丹东市,124.354419,40.000646
汕头市,116.681956,23.354152
潮州市,116.621901,23.657662
天水市,105.724828,34.581514
商丘市,115.656358,34.415165
三门峡市,111.200482,34.773196
濮阳市,115.029246,35.762731
包头市,109.95315,40.621327
汉中市,107.02319,33.066373
安庆市,117.115349,30.531828
亳州市,115.778588,33.846285
平凉市,106.664913,35.542417
宿迁市,118.275228,33.963186
乐山市,103.766085,29.552275
湘潭市,112.945439,27.83136
南充市,106.110565,30.837235
阳江市,111.98343,21.856853
内江市,105.057992,29.58021
广元市,105.844004,32.435774
四平市,124.350599,43.166764
莆田市,119.007662,25.454202
吉林市,126.549719,43.838132
衡水市,115.668987,37.739367
常德市,111.69905,29.031446
